date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests
2020-02-02,,,,,,
2020-02-09,,,,,,
2020-02-16,,,,,,
2020-02-23,,,,,,
2020-03-01,3.0,3.0,,,,
2020-03-02,0.0,3.0,,,,
2020-03-03,2.0,5.0,,,,
2020-03-04,3.0,8.0,,,,
2020-03-05,4.0,12.0,,,,
2020-03-06,6.0,18.0,,,,
2020-03-07,1.0,19.0,,,,
2020-03-08,12.0,31.0,,,,
2020-03-09,0.0,31.0,,,,
2020-03-10,10.0,41.0,,,,
2020-03-11,50.0,91.0,,,,
2020-03-12,3.0,94.0,,,,
2020-03-13,47.0,141.0,,,,
2020-03-14,48.0,189.0,,,,
2020-03-15,64.0,253.0,,,,
2020-03-16,45.0,298.0,,,,
2020-03-17,98.0,396.0,,,,
2020-03-18,68.0,464.0,,,,
2020-03-19,230.0,694.0,,,,
2020-03-20,139.0,833.0,,,,
2020-03-21,162.0,995.0,,,,
2020-03-22,125.0,1120.0,1.0,1.0,,
2020-03-23,116.0,1236.0,0.0,1.0,,
2020-03-24,158.0,1394.0,2.0,3.0,,
2020-03-25,260.0,1654.0,3.0,6.0,,
2020-03-26,271.0,1925.0,3.0,9.0,,
2020-03-27,354.0,2279.0,0.0,9.0,,
2020-03-28,352.0,2631.0,2.0,11.0,,
2020-03-29,186.0,2817.0,5.0,16.0,,
2020-03-30,184.0,3001.0,7.0,23.0,,
2020-03-31,307.0,3308.0,8.0,31.0,,
2020-04-01,200.0,3508.0,8.0,39.0,,
2020-04-02,350.0,3858.0,5.0,44.0,,
2020-04-03,233.0,4091.0,9.0,53.0,,
2020-04-04,381.0,4472.0,6.0,59.0,,
2020-04-05,115.0,4587.0,8.0,67.0,,
2020-04-06,235.0,4822.0,11.0,78.0,,
2020-04-07,195.0,5017.0,10.0,88.0,,
2020-04-08,295.0,5312.0,11.0,99.0,,
2020-04-09,257.0,5569.0,13.0,112.0,,
2020-04-10,163.0,5732.0,7.0,119.0,,
2020-04-11,99.0,5831.0,10.0,129.0,,
2020-04-12,160.0,5991.0,9.0,138.0,,
2020-04-13,68.0,6059.0,5.0,143.0,,
2020-04-14,52.0,6111.0,18.0,161.0,,
2020-04-15,105.0,6216.0,5.0,166.0,,
2020-04-16,217.0,6433.0,3.0,169.0,,
2020-04-17,116.0,6549.0,4.0,173.0,,
2020-04-18,57.0,6606.0,8.0,181.0,,
2020-04-19,140.0,6746.0,5.0,186.0,,
2020-04-20,154.0,6900.0,8.0,194.0,,
2020-04-21,133.0,7033.0,7.0,201.0,,
2020-04-22,99.0,7132.0,7.0,208.0,,
2020-04-23,55.0,7187.0,2.0,210.0,,
2020-04-24,86.0,7273.0,4.0,214.0,,
2020-04-25,79.0,7352.0,4.0,218.0,,
